zip_code,label,department_name,department_number,region_name
39230,st lamain,jura,39,bourgogne-franche-comté
39150,st laurent en grandvaux,jura,39,bourgogne-franche-comté
39120,st loup,jura,39,bourgogne-franche-comté
39150,st pierre,jura,39,bourgogne-franche-comté
39110,st thiebaud,jura,39,bourgogne-franche-comté
39110,saizenay,jura,39,bourgogne-franche-comté
39120,seligney,jura,39,bourgogne-franche-comté
39300,supt,jura,39,bourgogne-franche-comté
39300,syam,jura,39,bourgogne-franche-comté
39500,tavaux,jura,39,bourgogne-franche-comté
39110,thesy,jura,39,bourgogne-franche-comté
39240,thoirette coisia,jura,39,bourgogne-franche-comté
39240,thoirette coisia,jura,39,bourgogne-franche-comté
39600,vadans,jura,39,bourgogne-franche-comté
39300,valempoulieres,jura,39,bourgogne-franche-comté
39300,vannoz,jura,39,bourgogne-franche-comté
39300,le vaudioux,jura,39,bourgogne-franche-comté
39800,vaux sur poligny,jura,39,bourgogne-franche-comté
39570,vernantois,jura,39,bourgogne-franche-comté
39240,vescles,jura,39,bourgogne-franche-comté
39570,vevy,jura,39,bourgogne-franche-comté
39260,villards d heria,jura,39,bourgogne-franche-comté
39570,villeneuve sous pymont,jura,39,bourgogne-franche-comté
39600,villers farlay,jura,39,bourgogne-franche-comté
39230,vincent froideville,jura,39,bourgogne-franche-comté
39210,voiteur,jura,39,bourgogne-franche-comté
39700,vriange,jura,39,bourgogne-franche-comté
21121,ahuy,côte-d'or,21,bourgogne-franche-comté
21510,aignay le duc,côte-d'or,21,bourgogne-franche-comté
21230,allerey,côte-d'or,21,bourgogne-franche-comté
21420,aloxe corton,côte-d'or,21,bourgogne-franche-comté
21230,antigny la ville,côte-d'or,21,bourgogne-franche-comté
21310,arceau,côte-d'or,21,bourgogne-franche-comté
21350,arnay sous vitteaux,côte-d'or,21,bourgogne-franche-comté
21360,aubaine,côte-d'or,21,bourgogne-franche-comté
21580,avot,côte-d'or,21,bourgogne-franche-comté
21410,baulme la roche,côte-d'or,21,bourgogne-franche-comté
21320,bellenot sous pouilly,côte-d'or,21,bourgogne-franche-comté
21360,bessey en chaume,côte-d'or,21,bourgogne-franche-comté
21110,bessey les citeaux,côte-d'or,21,bourgogne-franche-comté
21520,bissey la cote,côte-d'or,21,bourgogne-franche-comté
21330,bissey la pierre,côte-d'or,21,bourgogne-franche-comté
21690,source seine,côte-d'or,21,bourgogne-franche-comté
21200,bligny les beaune,côte-d'or,21,bourgogne-franche-comté
21360,bligny sur ouche,côte-d'or,21,bourgogne-franche-comté
21330,bouix,côte-d'or,21,bourgogne-franche-comté
21350,brain,côte-d'or,21,bourgogne-franche-comté
21390,braux,côte-d'or,21,bourgogne-franche-comté
21390,brianny,côte-d'or,21,bourgogne-franche-comté
21500,buffon,côte-d'or,21,bourgogne-franche-comté
21110,cessey sur tille,côte-d'or,21,bourgogne-franche-comté
21320,chailly sur armancon,côte-d'or,21,bourgogne-franche-comté
21290,chambain,côte-d'or,21,bourgogne-franche-comté
21400,chamesson,côte-d'or,21,bourgogne-franche-comté
21500,champ d oiseau,côte-d'or,21,bourgogne-franche-comté
21310,charmes,côte-d'or,21,bourgogne-franche-comté
21170,charrey sur saone,côte-d'or,21,bourgogne-franche-comté
21400,chatillon sur seine,côte-d'or,21,bourgogne-franche-comté
